Feature	Gain	Cover	Frequency
Master_mlimitecompra_delta1	0.000288146202564522	0.000459519260511972	0.000588297274515313
cpagomiscuentas_delta1	0.000281104649771226	0.00144771566473552	0.000728786175892105
Visa_msaldodolares_delta1	0.000276790514524214	0.00217874468131059	0.000834152851924698
cseguro_accidentes_personales_lag1	0.000276661512754868	0.000452435020400026	0.00047415004214667
cseguro_accidentes_personales	0.000272212584415635	0.000349677819340013	0.000447808373138522
ccajas_extracciones	0.000257305192833204	0.0024118518698028	0.000588297274515313
Visa_msaldodolares	0.000256396118082304	0.000508596005588996	0.000535613936499017
cprestamos_personales_delta1	0.000252311284083252	0.00161684631744261	0.000263416690081484
ccuenta_debitos_automaticos_delta1	0.000244497895943573	0.00202848039959887	0.000421466704130374
Visa_fechaalta_delta1	0.00024391223703683	0.000287846593694822	0.000570736161843214
Visa_mconsumototal_delta1	0.000242036581278473	0.000393853995512197	0.000535613936499017
mplazo_fijo_dolares_lag1	0.0002415597040221	0.00215754471701324	0.000579516718179264
Visa_mconsumototal_lag1	0.000236828947312452	0.000421867222243382	0.000544394492835066
Master_fechaalta_delta1	0.000236266349320473	0.000166380294357951	0.000553175049171116
mforex_sell_lag1	0.000233512181036367	0.000498717226817009	0.000614638943523462
minversion1_pesos	0.000231039291771811	0.00292273368964004	0.000254636133745434
matm_other_lag1	0.000230995965992076	0.000870929225215889	0.000579516718179264
cextraccion_autoservicio_delta1	0.000225420600599936	0.000723480155793228	0.000623419499859511
matm_other_delta1	0.000221467820739086	0.00102647094843252	0.000570736161843214
Master_Finiciomora	0.00020395369156016	0.000755511723453228	0.000175611126720989
matm_other	0.000201490274550767	0.0013823664765527	0.000509272267490868
tmobile_app_lag1	0.000199916324138381	0.000112069216120966	0.000456588929474572
Visa_delinquency_lag1	0.000194470574559715	0.000182502049678909	0.000105366676032593
minversion2	0.000188177083112195	0.00303651835755539	0.00032488058443383
mforex_sell_delta1	0.000186795652503617	0.00114483030760421	0.000456588929474572
mprestamos_hipotecarios	0.000186649182830772	0.00116322470730604	8.78055633604945e-05
mforex_sell	0.000186065087617378	0.000908644739182459	0.000553175049171116
mcaja_ahorro_adicional	0.000185057905840368	0.00161064537727264	0.000333661140769879
