fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_depth	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_leaves	prob_corte	nrounds	ganancia	iteracion
20220602 004313	0	0	0	1	hist	lossguide	256	0	1	0.0100509798109464	0.300760577015701	6	729	0.0162059465564804	239	12822000	92
20220602 004407	0	0	0	1	hist	lossguide	256	0	1	0.153465534565668	0.916084475476534	8	2	0.0158897370779551	366	13583000	93
20220602 004443	0	0	0	1	hist	lossguide	256	0	1	0.0866707974736714	0.203629385673766	7	2	0.0170537443448622	180	13193000	94
20220602 004508	0	0	0	1	hist	lossguide	256	0	1	0.252390260856358	0.974032617038367	8	2	0.0178791871348801	104	13122000	95
20220602 004557	0	0	0	1	hist	lossguide	256	0	1	0.1671813124678	0.908231380678915	9	2	0.0154058378962135	322	13399000	96
20220602 004836	0	0	0	1	hist	lossguide	256	0	1	0.0100514024088855	0.643632015126875	10	523	0.0108042705270532	74	12776000	97
20220602 004917	0	0	0	1	hist	lossguide	256	0	1	0.298561246679622	0.609013587340643	8	2	0.0171564481352189	213	13129000	98
20220602 004942	0	0	0	1	hist	lossguide	256	0	1	0.163658529624095	0.272260102946349	8	2	0.0153246202193178	104	13282000	99
20220602 005038	0	0	0	1	hist	lossguide	256	0	1	0.141988499304778	0.997547024049308	6	2	0.0161160578242059	379	13249000	100
20220602 005300	0	0	0	1	hist	lossguide	256	0	1	0.0124180538111379	0.230554578977978	6	1024	0.00836720783412701	39	12635000	101
20220602 005532	0	0	0	1	hist	lossguide	256	0	1	0.0139456421162956	0.905943368376419	10	42	0.0133309850728644	172	13152000	102
20220602 005847	0	0	0	1	hist	lossguide	256	0	1	0.0104787664219031	0.328032906239759	10	692	0.0150341602676121	269	13173000	103
20220602 010204	0	0	0	1	hist	lossguide	256	0	1	0.035863714755177	0.869964281679181	6	2	0.0145749511333837	1532	13289000	104
20220602 010241	0	0	0	1	hist	lossguide	256	0	1	0.155179201269157	0.266344916209193	5	1024	0.0146148737245048	26	10712000	105
20220602 010325	0	0	0	1	hist	lossguide	256	0	1	0.194674159988241	0.999185544155871	8	2	0.0137018640492699	280	12928000	106
20220602 010633	0	0	0	1	hist	lossguide	256	0	1	0.0141110801478316	0.879869089717243	5	299	0.0117152779609415	186	12662000	107
