experimento	fecha	pos_bagging_fraction	neg_bagging_fraction	max_depth	max_bin	seed	extra_trees	drop_rate	max_drop	skip_drop	metric	first_metric_only	objective	boost_from_average	force_row_wise	feature_pre_filter	boosting	num_threads	verbosity	verbose	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	lambda_l1	lambda_l2	min_gain_to_split	bagging_fraction	num_iterations	prob_corte	estimulos	ganancia	iteracion_bayesiana
HT9310_3L	20220619 145722	1	1	-1	31	200227	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0954651340053602	0.33820344672654	431	4304	0.526841103134215	0.970237076675328	0.0993664915359336	0.715743618056702	287	0.0935160601973118	10850	14350000	106
HT9310_3L	20220619 145808	1	1	-1	31	200227	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0706829760517427	0.762255592703474	477	4362	0.763310555323677	0.621148324748654	0.34762996452881	0.874036530206374	241	0.112754714044874	9676	14564000	107
HT9310_3L	20220619 145905	1	1	-1	31	200227	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0293241723699586	0.423224779253334	787	4005	0.649327424210813	0.628556138762576	0.111851458624221	0.146122805995652	636	0.0919831008310511	10928	14512000	108
HT9310_3L	20220619 150041	1	1	-1	31	200227	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0275203830409867	0.64032883492548	618	3667	0.783304387025033	0.665414731165091	0.125079984800235	0.516067027346452	719	0.0908507271353119	11040	14520000	109
HT9310_3L	20220619 150125	1	1	-1	31	200227	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0715981349682828	0.838359054468941	554	4251	0.425724641428047	0.943593011455511	0.258183428113544	0.745583967493548	217	0.102284807333953	10302	14658000	110
HT9310_3L	20220619 150217	1	1	-1	31	200227	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0216825576082299	0.225271491179181	642	4368	0.488236281544149	0.333804895692831	0.0611581736009528	0.230563021709041	857	0.118185580907941	9006	14634000	111
HT9310_3L	20220619 150327	1	1	-1	31	200227	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0226000449019414	0.579544829871847	845	3853	0.940547637751838	0.402743982387053	0.287544254149899	0.376561628858846	590	0.108811758275184	10070	14530000	112
HT9310_3L	20220619 150454	1	1	-1	31	200227	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0268810337140942	0.747295803006045	402	3813	0.752064161846203	0.386194665121785	0.377628333086095	0.17853270322359	625	0.0990925650238988	10442	14638000	113
HT9310_3L	20220619 150533	1	1	-1	31	200227	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0679960142415823	0.894621907429673	765	4382	0.817231031951788	0.879820399176476	0.360503527003751	0.515875371377856	172	0.105769202640887	10126	14594000	114
HT9310_3L	20220619 150610	1	1	-1	31	200227	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0661109123163665	0.581729266348833	580	4168	0.725680988094858	0.959035085240456	0.363685999322348	0.734041106045159	224	0.112154114157707	9648	14952000	115
