fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220601 214147	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	0	0	0	31	349	TRUE	200213	0.0119085257330125	0.312073807589895	5084	18	0.0168706050690412	12962000	100
20220601 214155	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	0	0	0	31	14	TRUE	200213	0.299238786707199	0.999858803854811	7313	1024	0.0164853251167345	12912000	101
20220601 214210	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	0	0	0	31	86	TRUE	200213	0.101870552518751	0.204195087887526	7351	21	0.0151628041374161	12574000	102
20220601 214318	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	0	0	0	31	375	TRUE	200213	0.0128721867648705	0.381600684239541	1554	17	0.0156375924092513	13346000	103
20220601 214331	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	0	0	0	31	105	TRUE	200213	0.11882010273743	0.947194968189924	7996	198	0.0170336090072932	12826000	104
20220601 214356	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	0	0	0	31	143	TRUE	200213	0.0354482140850722	0.835524955703871	3828	682	0.0160082761407225	13086000	105
20220601 214531	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	0	0	0	31	468	TRUE	200213	0.0105163171199465	0.554680686580933	3736	680	0.017554915586561	13188000	106
20220601 214608	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	0	0	0	31	163	TRUE	200213	0.0340544043820449	0.39379691468834	2213	564	0.0152021496135892	1.3e+07	107
20220601 214629	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	0	0	0	31	75	TRUE	200213	0.0696572395999372	0.459907624006778	3628	660	0.0165192274176246	13258000	108
20220601 214730	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	0	0	0	31	266	TRUE	200213	0.016453435372991	0.434586011718052	3605	926	0.0189409996558758	13150000	109
20220601 214803	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	0	0	0	31	146	TRUE	200213	0.0402318963226063	0.494976704205883	3620	753	0.016615612489565	13341000	110
20220601 214840	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	0	0	0	31	160	TRUE	200213	0.0435014389351562	0.429411428225146	5087	577	0.0198628259529867	12948000	111
20220601 214952	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	0	0	0	31	610	TRUE	200213	0.01027213130846	0.873196991257534	5158	426	0.0153740923688542	13044000	112
20220601 215113	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	0	0	0	31	372	TRUE	200213	0.0101481657141146	0.904053350672396	1763	939	0.0117188518229358	12833000	113
20220601 215211	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	0	0	0	31	402	TRUE	200213	0.0112292359698805	0.829830673074928	5084	864	0.0159746125159466	13171000	114
20220601 215314	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	0	0	0	31	508	TRUE	200213	0.0103146437906475	0.727909262116661	6210	198	0.014932741981779	12937000	115
20220601 215412	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	0	0	0	31	356	TRUE	200213	0.0185466138026691	0.400668331842445	7248	735	0.0165308565340846	13027000	116
20220601 215423	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	0	0	0	31	52	TRUE	200213	0.158860997760489	0.986803688631404	7730	896	0.0171082585469693	13063000	117
20220601 215610	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	0	0	0	31	513	TRUE	200213	0.0101305315058139	0.48802072141167	3619	318	0.0158287419739254	13264000	118
20220601 215725	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	0	0	0	31	485	TRUE	200213	0.0100680780354728	0.609899844127548	7994	391	0.0157051368652955	13053000	119
20220601 215847	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	0	0	0	31	422	TRUE	200213	0.0100712232867195	0.577909194111198	9	23	0.0162599721782117	12809000	120
